miete,miete_delta,groesse,days_to_freiab,days_to_rent,polarity_de,popular_area,new_user,möbliert,unmöbliert,bitte,leider,Skype,besichtigung,xx,:\),scam
397.0,-39.08648648648648,23.0,11,731,0.3058823529411765,0,0,0,0,0,0,0,0,0,1,0.0
460.0,23.91351351351352,19.0,103,152,0.35,0,1,1,0,0,0,0,0,0,0,0.0
500.0,63.91351351351352,17.0,81,264,0.27847222222222223,0,1,1,0,0,1,0,0,0,0,0.0
490.0,19.6471600688468,15.0,11,182,0.11666666666666664,1,0,1,0,0,0,0,0,0,0,0.0
480.0,9.647160068846802,20.0,11,121,0.27999999999999997,1,0,1,0,0,0,0,0,0,0,0.0
900.0,463.9135135135135,40.0,41,364,0.3777777777777778,0,0,0,0,0,1,0,0,0,0,0.0
400.0,-36.08648648648648,20.0,11,731,0.4,0,0,0,0,0,0,0,0,0,0,0.0
475.0,4.6471600688468016,18.0,11,92,0.395,1,0,0,0,1,1,0,0,0,1,0.0
480.0,9.647160068846802,23.0,1,92,0.3444444444444444,1,0,0,0,1,0,0,0,0,0,0.0
400.0,-70.3528399311532,14.0,1,92,0.3,1,0,0,0,1,0,0,0,0,0,0.0
650.0,179.6471600688468,20.0,25,717,0.2333333333333333,1,1,0,0,0,0,0,0,0,0,0.0
350.0,-86.08648648648648,20.0,41,701,0.275,0,0,0,0,1,0,0,0,0,0,0.0
680.0,209.6471600688468,25.0,11,91,0.24722222222222223,1,0,1,0,1,0,0,0,0,1,0.0
565.0,94.6471600688468,20.0,2,744,0.4916666666666667,1,0,1,0,0,0,0,0,0,0,0.0
480.0,9.647160068846802,18.0,2,744,0.375,1,0,1,0,0,0,0,0,0,0,0.0
475.0,38.91351351351352,25.0,1,743,0.31590909090909086,0,0,0,0,0,1,0,0,0,0,0.0
695.0,224.6471600688468,32.0,21,721,0.13333333333333333,1,0,1,0,0,1,0,0,0,0,0.0
335.0,-135.3528399311532,11.0,1,743,0.4587837837837837,1,0,0,0,1,1,0,0,0,0,0.0
500.0,29.6471600688468,28.0,41,182,0.34545454545454546,1,0,1,0,0,0,0,0,0,0,0.0
400.0,-36.08648648648648,14.0,11,152,0.11666666666666665,0,0,1,0,0,0,0,0,0,0,0.0
305.0,-165.3528399311532,15.0,30,712,0.5947916666666666,1,1,1,0,1,1,0,0,0,0,0.0
600.0,129.6471600688468,28.0,11,92,0.39117647058823524,1,0,1,0,0,0,0,0,0,1,0.0
289.0,-147.08648648648648,13.0,11,731,0.19814814814814813,0,0,1,0,1,0,0,0,0,1,0.0
455.0,18.91351351351352,16.0,15,757,0.18000000000000002,0,0,0,0,0,0,0,0,0,0,0.0
590.0,119.6471600688468,30.0,11,731,0.39285714285714285,1,1,1,0,0,0,0,0,0,0,0.0
550.0,79.6471600688468,20.0,11,731,0.39285714285714285,1,1,1,0,0,0,0,0,0,0,0.0
570.0,99.6471600688468,25.0,41,701,0.325,1,0,0,0,1,0,0,0,0,0,0.0
590.0,119.6471600688468,25.0,11,731,0.39285714285714285,1,1,1,0,0,0,0,0,0,0,0.0
530.0,93.91351351351352,15.0,11,731,0.575,0,0,1,0,0,0,0,0,0,0,0.0
500.0,29.6471600688468,13.0,11,213,0.25,1,0,1,0,0,1,0,0,0,0,0.0
550.0,79.6471600688468,14.0,11,183,0.3272727272727272,1,0,1,0,1,0,0,0,0,1,0.0
600.0,163.91351351351352,20.0,72,167,0.5249999999999999,0,0,0,0,0,1,0,0,0,1,0.0
390.0,-46.08648648648648,13.0,1,741,0.22318840579710147,0,0,1,0,0,1,0,0,0,0,0.0
400.0,-70.3528399311532,20.0,9,185,0.3447368421052632,1,0,0,0,0,0,0,0,0,0,0.0
440.0,-30.3528399311532,24.0,11,91,0.19444444444444442,1,0,0,0,0,0,0,0,0,0,0.0
400.0,-70.3528399311532,23.0,41,701,0.13124999999999998,1,0,1,0,0,0,0,0,0,0,0.0
390.0,-80.3528399311532,15.0,9,731,0.38375000000000004,1,0,0,0,1,0,0,0,0,1,0.0
490.0,53.91351351351352,21.0,39,701,0.38999999999999996,0,0,0,0,0,1,0,0,0,1,0.0
430.0,-40.3528399311532,28.0,40,394,0.15454545454545454,1,0,0,0,0,0,0,0,0,0,0.0
650.0,213.91351351351352,14.0,9,731,0.6166666666666667,0,1,0,0,0,0,0,0,0,1,0.0
850.0,413.9135135135135,25.0,39,701,0.13999999999999999,0,0,0,0,0,0,0,0,0,1,0.0
325.0,-111.08648648648648,20.0,9,731,-0.03888888888888889,0,0,0,0,0,0,0,0,0,0,0.0
750.0,279.6471600688468,12.0,39,334,0.15624999999999997,1,0,1,0,0,0,0,0,0,0,0.0
530.0,59.6471600688468,42.0,8,732,0.0,1,0,1,0,0,0,0,0,0,0,0.0
530.0,59.6471600688468,42.0,8,732,0.49166666666666664,1,0,1,0,0,0,0,0,0,0,0.0
